"V4-9732","Μενέμαχος","BGU-1944, 6, 9, [12], etc."
"V4-11610","Πολυήρατος","BGU-2390, [4], 7-8, 15, etc."
"V4-11962","Πτολεμαῖος","BGU-1272, 5, 20"
"V4-11965","Πτολεμαῖος","BGU-2390, [5], 15"
"V4-12338","Σάτοκος","BGU-1998, 1"
"V4-12527","Σεύθης","BGU-2001, 1"
"V4-12823","Στράτιος","BGU-1944, [5], [26]"
"V4-12857","Στράτων","BGU-1944, [5], [9], [11], [14], [16-17], 26, 29, etc."
"V4-13766","Φίλων","BGU-1939 c, 4"
"V4-24030","Ἀγαθῖνος","BGU-1939 A, 5"
"V4-24116","Ἀγήνωρ","BGU-1964, 13 "
"V4-24327","Ἀκέσανδρος","BGU-1463, 1, 3-4, 7, etc. "
"V4-24518","Ἀλέξανδρος","BGU-1132, 2, 4"
"V4-24696","Ἀμέριμνος","BGU-1740, 18 "
"V4-24763","Ἀμμώνιος","BGU-2397, 20 "
"V4-24764","Ἀμμώνιος","BGU-2423, 37 "
"V4-24771","Ἀμμώνιος","BGU-1816, 2 "
"V4-25355","Ἀπολλόδοτος","BGU-2397, [4], 10-11, 19, etc. "
"V4-25474","Ἀπολλώνιος","BGU-1938 B, 5"
"V4-25489","Ἀπολλώνιος","BGU-1736, 8, 20"
"V4-25493","Ἀπολλώνιος","BGU-1731, 3"
"V4-25499","Ἀπολλώνιος","BGU-1738, 1, 13 and verso "
"V4-25967","Ἀρχίβιος","BGU-2423, 32 "
"V4-26063","Ἀσκληπιόδωρος","BGU-2423, 33"
"V4-26445","Βόηθος","BGU-1938 B, 12"
"V4-26710","Δαΐμαχος","BGU-1964, 2, 4-5, etc."
"V4-26947","Δημήτριος","BGU-1732, 1, 2, 5, etc. "
"V4-27103","Διογένης","BGU-1939 A, 12"
"V4-27157","Διομήδης","BGU-1938 B, 3"
"V4-27268","Διονύσιος","BGU-1938 B, 8"
"V4-27269","Διονύσιος","BGU-1939 A, 6 "
"V4-27282","Διονύσιος","BGU-1733, 1, 4-5, 9-10, 12, 18, 20, 24 "
"V4-27283","Διονύσιος","BGU-1831, 4"
"V4-27284","Διονύσιος","BGU-1733, 4-5"
"V4-27473","Διοσκουρίδης","BGU-1939 A, 10 "
"V4-28008","῾Ερμίας","BGU-1943, 5 "
"V4-28059","῞Ερμων","BGU-1256, 3 "
"V4-28147","Εὔβουλος","BGU-1738, 13"
"V4-28917","῾Ηλιόδωρος","BGU-2423, 26"
"V4-28918","῾Ηλιόδωρος","BGU-2423, 30"
"V4-28989","῾Ηρακλείδης","BGU-1938 B, 6"
"V4-28990","῾Ηρακλείδης","BGU-1939 A, 3"
"V4-28991","῾Ηρακλείδης","BGU-2423, 38 "
"V4-28997","῾Ηρακλείδης","BGU-1733, 17, 20, 25 "
