"V1-63615","Δόκιμος","SB-11059, 15-16"
"V1-63650","Ἐλληλος?","SB-10301 e, 3"
"V1-63741","῾Ερμίας","SB-3941"
"V1-64109","Θεοδότη","SB-11376, 6"
"V1-64135","Θεόχρηστος","SB-11060"
"V1-64265","Θηρίσκος","SB-11059, 14, 16"
"V1-64421","Ἰσοδώρα","SB-419"
"V1-64457","Καλλιάναξ","SB-11061, 24"
"V1-64470","Καλλίδρομος","SB-6281"
"V1-64522","Κάλλις","SB-11061, 23"
"V1-64608","Καρτισθένης","SB-7631, 22"
"V1-64796","Λέων","SB-11059, 13"
"V1-64798","Λέων","SB-11376, 6-7"
"V1-65357","Πολύαρχος","SB-263"
"V1-65521","Πτολεμαῖος","SB-7631, 23"
"V1-65522","Πτολεμαῖος","SB-11306 I, 37"
"V1-65539","Πτολεμαῖος","SB-6030, 11"
"V1-65540","Πτολεμαῖος","SB-6030, 12"
"V1-65616","Σπάρτη","SB-6681"
"V1-65911","Φιλησώ","SB-6680"
"V1-65933","Φίλιππος","SB-11058, 8"
"V1-65934","Φίλιππος","SB-11061, 22"
"V1-69820","Λέων","SB-11968"
"V1-76552","Παράμονος","SB-7569, 20"
"V2-7949","Ἀριστέας","SB-12373, [6], 14, 16"
"V2-8390","Ἀριστόδημος","SB-10680, 2"
"V2-8959","Ἀριστομένης","SB-10184"
"V2-10492","Ἀρχέστρατος","SB-398, 4"
"V2-11006","Ἀσκληπιάδης","SB-9814, 2"
"V2-17235","Διόδωρος","SB-10680"
"V2-18737","Διονύσιος","SB-10019. 18"
"V2-22180","Ἐπιγένης","SB-7793"
"V2-38689","Κλεόμβροτος","SB-453, 3"
"V2-50118","Ξενοφῶν","SB-I 398, 4"
"V3a-2589","Λακρίνης","SB-2130"
"V3a-7058","Θεόδωρος","SB-7204, 5"
"V3a-10871","Λυσίμαχος","SB-7169, 10"
"V3a-17237","῎Ασμενος","SB-4046"
"V3a-22543","Ῥίνων","SB-4043"
"V3a-23166","Ἀντίοχος","SB-4375"
"V3a-23671","Θεοκλῆς","SB-6303, 6"
"V3a-23992","Νέων","SB-6759, 18"
"V3a-24250","Στάχυς","SB-6303, 6 etc."
"V3a-27108","Φιλῖνος","SB-8576"
"V3a-29410","Βακχεῖος","SB-417 f"
"V3a-29412","Ἀπολλωνιάδης","SB-8078"
"V3a-29413","Δέξιος","SB-11979"
"V3a-42886","Πύρρος","SB-7306"
"V3a-43025","Ταύρων","SB-6831, 2"
"V3b-8131","Ἀρκεσίλας","SB-420"
"V3b-9961","Διονύσιος","SB-448"
"V3b-10488","῾Ερμίας","SB-407"
"V3b-11512","῾Ηρακλείδας","SB-5926"
"V3b-12250","῾Ιπποκράτης","SB-5696"
"V3b-12306","῾Ιππόνικος","SB-1546"
"V3b-13759","Λύκων","SB-447"
"V3b-14459","Μητρικῶν","SB-12720, 34"
"V3b-14497","Μικκυλίων","SB-4272"
"V3b-17794","Σώστρατος","SB-12720, 34, 38"
"V4-1013","Ἀβλούζελμις","SB-3678"
"V4-1374","Αἰσχρίων","SB-8562 "
"V4-2580","Ἀριστόλοχος","SB-11061, 7"
"V4-2644","Ἀρίστων","SB-12720, 3"
"V4-3314","Αὐλούτραλις","SB-3672"
"V4-3758","Βίθυς","SB-12221, 13"
"V4-4665","Διζάπορις","SB-12221, 26"
"V4-4933","Διόδοτος","SB-8562"
"V4-6763","Ζηνίων","SB-11376, 7-8"
"V4-7423","῾Ηρόδοτος","SB-8974 fr. 3 II, 42 "
"V4-8340","Κάλλιππος","SB-8974 fr. 3 II, 43 "
"V4-8843","Κότυς","SB-3687"
"V4-9031","Λάμπος","SB-1808"
"V4-10027","Μητρόδωρος","SB-6278, 27 "
"V4-10709","Νίκανδρος","SB-13840"
"V4-11580","Πολέμων","SB-8974 fr. 3 II, 42"
"V4-11593","Πολύαινος","SB-12221, 7"
"V4-12339","Σάτοκος","SB-12221, 1"
"V4-12530","Σεύθης","SB-3686"
"V4-13782","Φιλώτας","SB-8974 fr. 3 II, 43"
"V4-19548","Λόχος","SB-1 p. 373"
"V4-19557","Λύκος","SB-1 p. 373 (silver)"
"V4-20806","Πάπιος","SB-1 p. 193 (vase)"
"V4-24100","Ἀγασίας","SB-15240, 9, 12-13, 27, 30, 33, 42"
"V4-24333","Ἀκουσίλαος","SB-7532, 24, 37 "
"V4-24338","Ἀκουσίλαος","SB-11274, 3"
"V4-24516","Ἀλέξανδρος","SB-8974 fr. 3, 44 "
"V4-24770","Ἀμμώνιος","SB-11410 B, 11"
"V4-25157","Ἀντίγονος","SB-13841, 2"
"V4-25204","Ἀντίλοχος","SB-13841, 2 "
"V4-25207","Ἀντίμαχος","SB-12720, 2, 9, 17, 23 "
"V4-25486","Ἀπολλώνιος","SB-11410 B, 12"
"V4-25490","Ἀπολλώνιος","SB-7532, 26, 37 "
"V4-25551","῎Αρειος","SB-7532, 25, 36 "
"V4-25676","Ἀριστομήδης","SB-12720, 2, 23"
"V4-25819","Ἀρτεμιδώρα","SB-8974 fr. 3, 54"
"V4-26023","Ἀσκληπιάδης","SB-8974 fr. 3, 51, 54 "
"V4-26024","Ἀσκληπιάδης","SB-8974 fr. 3, [7-8], 10, 34, 47, 51, 55"
"V4-26821","Δήμαρχος","SB-4307 "
"V4-26933","Δημήτριος","SB-11893, 2 "
"V4-27051","Δίδυμος","SB-9255, 7 "
"V4-27137","Διόδωρος","SB-7632, 18"
"V4-27286","Διονύσιος","SB-7532, 26, 36 "
"V4-27539","Διόφαντος","SB-15240, 29, 44"
"V4-28146","Εὔβουλος","SB-9258, 5"
"V4-28920","῾Ηλιόδωρος","SB-7532, 25"
"V4-28949","῾Ηρακλᾶς","SB-7532, 26"
"V4-28992","῾Ηρακλείδης","SB-15369, 5"
"V4-28995","῾Ηρακλείδης","SB-9366, 2, 6 "
"V4-29236","Θεόδωρος","SB-7631, [5], 29"
"V4-29242","Θεόδωρος","SB-9366, 2"
"V4-29767","Καλλίνικος","SB-12524, 2"
"V4-29768","Καλλίνικος","SB-12524, 3, 7"
"V4-29965","Κεφάλων","SB-7631, [5], 29 "
"V4-29966","Κεφάλων","SB-15369, 4"
